"","n_abs_num_1","p_abs_num_1","n_dir_num_1","p_dir_num_1","n_abs_cat_1","p_abs_cat_1","n_dir_cat_1","p_dir_cat_1","n_abs_num_2","p_abs_num_2","n_dir_num_2","p_dir_num_2","n_abs_cat_2","p_abs_cat_2","n_dir_cat_2","p_dir_cat_2","n_abs_num_3","p_abs_num_3","n_dir_num_3","p_dir_num_3","n_abs_cat_3","p_abs_cat_3","n_dir_cat_3","p_dir_cat_3","n_abs_num_4","p_abs_num_4","n_dir_num_4","p_dir_num_4","n_abs_cat_4","p_abs_cat_4","n_dir_cat_4","p_dir_cat_4"
"culvert_shape_at_waterline_straight_sides_or_curved","A 66",0.220851357488692,"A 66",0.647732504009194,"X 66",0.224777201199727,"X 66",0.256862056635948,"A 64",0.961720127449895,"A 64",0.958963360988957,"X 64",0.891895657224101,"X 64",0.870638752431404,"A 64",0.532388198815141,"A 64",0.284038697842039,"X 64",1,"X 64",0.549083296198982,"A 66",0.548885155811427,"A 66",0.448251227282233,"X 66",1,"X 66",0.936358685804055
"lake_outlet","A 66",0.496169315736694,"A 66",0.249365197466697,"X 66",0.725974383280218,"X 66",0.346608692203137,"A 64",0.573957642406115,"A 64",0.940309426265328,"X 64",0.82473847285467,"X 64",0.575955926370872,"A 64",0.961581958803137,"A 64",0.861981920022486,"X 64",0.668036017950943,"X 64",0.692244479312372,"A 66",0.613307266451829,"A 66",0.640026825346198,"X 66",0.725974383280218,"X 66",0.718302498507298
"banks_y_n_10","A 66",0.209057192121968,"A 66",6.90816173030923e-07,"X 66",0.0496705082241284,"X 66",1.35342151375475e-06,"A 64",0.560765726027315,"A 64",0.839047129395415,"X 64",0.55159836221297,"X 64",0.559994083868625,"A 64",0.0559131887753498,"A 64",0.0143181791747566,"X 64",0.608364029260897,"X 64",0.430678605306002,"A 66",0.37822844724792,"A 66",9.92046617203701e-11,"X 66",1,"X 66",9.35697374550356e-08
"bank_material_larger_than_bed_materials_y_n","A 28",0.0267992490844089,"A 28",0.231337546660082,"X 28",0.546363294846408,"X 28",0.576219245287014,"A 27",0.355646315844907,"A 27",0.159275895193139,"X 27",0.332372838940027,"X 27",0.143247436593619,"A 27",0.477673338148859,"A 27",0.645079049192728,"X 27",0.889862712962184,"X 27",0.851535332163106,"A 28",0.0448004639740357,"A 28",0.808369674610838,"X 28",0.173213319986321,"X 28",0.0465593916905062
"features_y_n","A 66",0.377435072497468,"A 66",0.0356213654769644,"X 66",0.222922444954071,"X 66",0.0357143093176348,"A 64",0.424975609875578,"A 64",0.272099674173317,"X 64",0.697973852265953,"X 64",0.592813271758992,"A 64",0.45710676319575,"A 64",0.240197934488415,"X 64",0.452370360677361,"X 64",0.217230259219059,"A 66",0.920274872553835,"A 66",0.153873483151762,"X 66",0.793549500924464,"X 66",0.1343080085897
"one_size_material_used_for_all","A 65",0.264681644316683,"A 65",0.0185655137354185,"X 65",0.596909850724072,"X 65",0.0385895270400075,"A 63",0.763709617682405,"A 63",0.688349168114963,"X 63",0.926285622091264,"X 63",0.920773905546822,"A 64",0.295254370407816,"A 64",0.252582784954057,"X 64",0.188206470833195,"X 64",0.198659769958471,"A 65",0.363069959259913,"A 65",0.0245810946471149,"X 65",0.596909850724072,"X 65",0.0481643703844164
"reach_2_gradient","LR 34",0.662867052865149,"LR 34",0.659422685996567,"A 34",0.548930483651111,"A 34",0.790377713944975,"LR 33",0.0665655874747735,"LR 33",0.274025892870302,"A 33",0.0227155122127523,"A 33",0.0521908565617336,"LR 34",0.00696204770863302,"LR 34",0.00232334778457811,"A 34",0.0494995831021854,"A 34",0.0793174595763537,"LR 34",0.115325360239004,"LR 34",0.956279914517061,"A 34",0.13862482817855,"A 34",0.311241258746798
"reach_2_geo_channel_type","A 48",0.348469194489513,"A 48",0.0724921138576175,"X 48",0.490228821431792,"X 48",0.424187957714204,"A 46",0.00260534916493779,"A 46",0.00468544830638112,"X 46",0.0300304760385093,"X 46",0.0573973365569064,"A 47",0.744204321738253,"A 47",0.192360277320576,"X 47",0.454305265640712,"X 47",0.0365605414455045,"A 48",0.602728921992749,"A 48",0.197818261818173,"X 48",0.475020246674824,"X 48",0.214526065562272
"reach_2_features","A 15",0.695671725192422,"A 15",0.391048466770232,"X 15",0.540453057706269,"X 15",0.362408043368365,"A 15",0.510366187784901,"A 15",0.776631311727097,"X 15",0.246634152186052,"X 15",0.564003043892866,"A 15",0.0623749956244689,"A 15",0.0199245214216479,"X 15",0.119461011897942,"X 15",0.0771760772954444,"A 15",0.0759780541373702,"A 15",0.851838542877911,"X 15",0.468811732125319,"X 15",0.596312682363979
"reach_2_features_cons","A 16",0.464981461928593,"A 16",0.589506940854516,"X 16",0.296663495633589,"X 16",0.718232754702372,"A 16",0.167664686545133,"A 16",0.187042742816186,"X 16",0.453238639610227,"X 16",0.626688864389252,"A 16",0.203690950278841,"A 16",0.0923505247732975,"X 16",0.128707846703073,"X 16",0.248757371218991,"A 16",0.41799633707458,"A 16",0.261894283203387,"X 16",0.548601637286791,"X 16",0.343685759922751
"x2_width_straight","LR 36",0.180171587373934,"LR 36",0.89989845432709,"A 36",0.738623414865982,"A 36",0.857682362976095,"LR 34",0.787342263902677,"LR 34",0.29510054318507,"A 34",0.788967385746972,"A 34",0.220525178551927,"LR 35",0.227098629073177,"LR 35",0.0201060937345796,"A 35",0.340097340229909,"A 35",0.051856700840074,"LR 36",0.486507727419275,"LR 36",0.796300577974813,"A 36",0.562531367123357,"A 36",0.751348178955912
"reach_3_structure_width","LR 66",0.890634011484494,"LR 66",0.707795940682209,"A 66",0.845460775795995,"A 66",0.66359591891084,"LR 64",0.988377350909523,"LR 64",0.785981634040098,"A 64",0.410533836199064,"A 64",0.707138692385636,"LR 64",0.690182212067674,"LR 64",0.458787734195258,"A 64",0.0862216598736363,"A 64",0.16151524505811,"LR 66",0.211448719184775,"LR 66",0.998474240580018,"A 66",0.378031220343567,"A 66",0.623049545846834
"reach3_design_cr","LR 66",0.153746238090291,"LR 66",5.47880053987173e-08,"A 66",0.0188130502035694,"A 66",6.811923185818e-08,"LR 64",0.320151693637677,"LR 64",0.43798232836364,"A 64",0.201168246423502,"A 64",0.403635447925815,"LR 64",0.0692313794266647,"LR 64",0.0370962739466656,"A 64",0.813020218932065,"A 64",0.643529513609101,"LR 66",0.994779217068594,"LR 66",0.000131605319758877,"A 66",0.541599041161975,"A 66",0.000560845273542433
"reach_3_total_length","LR 66",0.83146838377309,"LR 66",0.826575204151877,"A 66",0.612532096541777,"A 66",0.546461666600356,"LR 64",0.158742278313331,"LR 64",0.387168609285964,"A 64",0.276413276577896,"A 64",0.479713695686733,"LR 64",0.237742312522132,"LR 64",0.355730747039013,"A 64",0.467393366630272,"A 64",0.739875606038254,"LR 66",0.970932629036485,"LR 66",0.979361907947443,"A 66",0.670365427693947,"A 66",0.853179498969955
"reach_3_gradient_51","LR 66",0.267057573968984,"LR 66",0.753996243020003,"A 66",0.491324707917772,"A 66",0.774473183655408,"LR 64",0.00250795184875015,"LR 64",0.12239309196221,"A 64",0.000455196201591589,"A 64",0.00104950734298369,"LR 64",0.000271527993402561,"LR 64",0.000117410042055652,"A 64",0.0694133836943338,"A 64",0.0283191136474557,"LR 66",0.654180609222922,"LR 66",0.340878679398799,"A 66",0.604026258691156,"A 66",0.541201368937233
"reach_3_average_inlet_and_outlet_height","LR 65",0.583843577886228,"LR 65",0.114884964936374,"A 65",0.99662707718594,"A 65",0.362533891001513,"LR 63",0.0315670737485291,"LR 63",0.0197122175655073,"A 63",0.957334164434106,"A 63",0.348097369450452,"LR 64",0.148938545049824,"LR 64",0.0106369971031018,"A 64",0.00198830728198718,"A 64",0.000572151967037288,"LR 65",0.045767774601836,"LR 65",0.0204914206006258,"A 65",0.215025092825793,"A 65",0.0157680499174331
"reach_3_inlet_w","LR 65",0.547506451988931,"LR 65",0.0535949554295305,"A 65",0.394226477675868,"A 65",0.0893568434964999,"LR 63",0.756143738142194,"LR 63",0.824334723307619,"A 63",0.606546361420029,"A 63",0.831845954689228,"LR 64",0.565390355808861,"LR 64",0.909804513553797,"A 64",0.137390593531135,"A 64",0.225983761132008,"LR 65",0.387080525533311,"LR 65",0.277883634104118,"A 65",0.619622830719907,"A 65",0.740604874463747
